Вопрос,Ответ
"Здравствуйте, а дополнительные баллы за участие в олимпиаде ВСОШ, дают за участие или какие-то места?","Доброе утро. Да, за очное участие конечно есть доп.баллы"
"Здравствуйте, если я участвовала в олимпиаде ""Изумруд"" в 23 году, дадут ли мне 3 дополнительных балла при поступлении в этом году?",Здравствуйте.  Согласно положению и правилам приема за очное участие результат сохраняется 2 года. За призовое место - 4 года.
"Добрый вечер! Подскажите, пожалуйста, как будет определяться проходной балл из отборочного этапа в следующий в олимпиаде ""Изумруд""?",В любом случае доп.баллы даются только за очное участие в олимпиаде
"Добрый день! Подскажите, пожалуйста, вот я прошёл по 3ем предметам олимпиады ""Изумруд"" в заключительный этап. Мне за это добавят только 3 балла при поступлении? Или 9?","Здравствуйте,  Иван.  По опыту прошлых лет, 3 балла. Эту информацию уточним у коллег и вернёмся к вам с ответом."
"Добрый день! Подскажите, пожалуйста, вот я прошёл по 3ем предметам олимпиады ""Изумруд"" в заключительный этап. Мне за это добавят только 3 балла при поступлении? Или 9?","Уточнили у коллег, да, 3 балла."
"При поступлении насколько важен средний балл аттестата? к примеру если у меня средний балл аттестата будет всего 3,7 а Балл ЕГЭ 280. Смогу ли я поступить?","В правилах приёма прописано, что средний балл оюатьесьата при прочих равных условиях играет значение"
"Здравствуйте! Подскажите, пожалуйста. Если участвовал в очном этапе изумруда, то при выигрыше на данном турнире баллы за турнир будут учитываться при поступлении?","Да. Только у вас будет БВИ, если ЕГЭ (75+) по предмету подтвердите и 3 балла вам не особо, думаю, будут нужны"
"Здравствуйте! Подскажите, пожалуйста. Если участвовал в очном этапе изумруда, то при выигрыше на данном турнире баллы за турнир будут учитываться при поступлении?","Если просто участие ,то 3 балла за что-то одно"
"Если просто участие ,то 3 балла за что-то одно",К сумме баллов ЕГЭ
"Здравствуйте, а какие баллы на платное подразумеваются там, где они не указаны в таблице?",Доброе утро. От 150 баллов
"Здравствуйте, а скажите пожалуйста, возьмут ли меня на те направления, где обязательно по информатике 75 баллов, если я сдаю только физику, к примеру?","75 баллов подтверждать тем, у кого БВИ"
"Доброе утро, подскажите пожалуйста, доп баллы дают за медаль ""Особые достижения в учении II степени"" (серебряная медаль)?","Доброе утро. Да, 4 доп. балла"
Тогда еще вопрос. Это только ваш институт дает эти доп баллы? или любой институт УрФУ?,это доп. баллы УрФУ
"Добрый день!
Подскажите, пожалуйста, на Вашем факультете есть дополнительные баллы за Мастера Спорта или КМС?","Добрый день. Да, конечно, 3 балла"
