id;message_id;question_text;bot_answer;feedback;user_id;timestamp
1;1902;А если хочешь тем не менее на платное?;"Для поступления на контрактное обучение в ИРИТ-РТФ УрФУ необходимо подать документы через Госуслуги или лично, при этом достаточно электронного согласия на Госуслугах. Подать документы на бюджет и контракт одновременно можно, так как конкурсы по ним проводятся раздельно.

Стоимость обучения по направлениям в ИРИТ-РТФ в 2025 году составляет до 263 000 рублей в год для большинства программ, кроме направления «Управление в технических системах», где стоимость обучения — до 216 000 рублей в год. Оплата может быть разделена на 2–4 части, также есть возможность оформления образовательного кредита.

Более подробную информацию о подаче документов и условиях обучения можно получить в приёмной комиссии по адресу: Екатеринбург, ул. Мира, 19, или через телеграм-канал и социальные сети.";👍;1080954445;2025-06-21 06:40:00
2;1904;А если не прошел по конкурсу на платное?;"Если вы не прошли по конкурсу на платное обучение, вам могут быть доступны следующие варианты:

1. Попробуйте подать документы на другие направления в ИРИТ-РТФ, где ещё есть свободные места.
2. Пересмотрите приоритеты направлений и подачи документов — возможно, вы сможете изменить приоритеты и увеличить свои шансы на поступление.
3. Если у вас есть возможность и желание, вы можете рассмотреть вариант поступления на следующий год, подготовившись более тщательно.
4. Также можно обратиться в контрактный отдел для обсуждения возможных вариантов оплаты обучения или оформления образовательного кредита.";👍;1080954445;2025-06-21 07:12:31
3;1913;И в этих направлениях есть ещё программы, которые нужно указать по приоритетам? Можно где-то посмотреть пример заполнения заявления? У нас аттестат будет только 28.06.;"Да, при поступлении в ИРИТ-РТФ УрФУ вы можете указать приоритеты по программам внутри выбранных направлений. Можно участвовать в конкурсе на 5 направлений одновременно, отдельно указываются приоритеты по каждой квоте (особая, целевая, основная) и один общий приоритет по платным местам (1 — наивысший). Изменить приоритеты можно до окончания приёма документов, оформив новый «Лист участника конкурса».

Пример заполнения заявления вы можете найти на официальном сайте УрФУ.";👍;1080954445;2025-06-21 07:45:28
4;1908;Это значит, что подавая согласие в вуз, абитуриент не может знать по какому приоритету он пройдет, если  вообще пройдёт. Об этом он узнаёт только 6.08?;"Этот вопрос не относится к конкретным направлениям ИРИТ-РТФ. Я могу рассказать только о направлениях нашего института, таких как: «Информатика и вычислительная техника», «Прикладная информатика», «Радиотехника», «Инфокоммуникационные технологии» и других технических программах ИРИТ-РТФ.

Если у вас есть вопросы о поступлении на конкретные направления, буду рад ответить.";👎;779150659;2025-06-21 08:30:40
5;1915;здравствуйте, а в чем разница между направлениями 09.03.01, 09.03.03 и 09.03.04?;"Здравствуйте!

09.03.01 «Информатика и вычислительная техника» — программа сочетает изучение аппаратного и программного обеспечения информационных систем. Студенты получают комплексную подготовку в области архитектуры компьютеров, операционных систем, языков программирования и информационных потоков. Обучение направлено на разработку и сопровождение информационных систем и умных устройств на всех этапах их жизненного цикла.

09.03.03 «Прикладная информатика» — программа готовит специалистов, способных применять прикладные ИТ-решения для задач науки и бизнеса. Обучение охватывает технические дисциплины, экономику, дизайн и гуманитарные науки, что обеспечивает универсальность подготовки. Студенты осваивают навыки разработки, моделирования и анализа данных, а также внедрения и сопровождения информационных систем.

09.03.04 «Программная инженерия» — флагманская программа бакалавриата ИРИТ-РТФ, готовящая универсальных ИТ-специалистов, которые понимают все этапы создания ПО: от кода и дизайна до юридических аспектов и ГОСТов. Программный инженер — не просто программист, а специалист, задействованный на всех этапах разработки: от анализа требований до внедрения, тестирования и поддержки.

Каждое из этих направлений имеет свои особенности и акценты в обучении, поэтому выбор зависит от ваших интересов и карьерных целей в сфере IT.";👍;457713197;2025-06-21 08:42:25
6;1924;можно еще поподробнее про приоритеты?;При поступлении в ИРИТ-РТФ УрФУ вы можете участвовать в конкурсе на 5 направлений одновременно. Для каждого направления необходимо указать приоритеты отдельно по каждой квоте (особая, целевая, основная) и один общий приоритет по платным местам (1 — наивысший). Изменить приоритеты можно до окончания приёма документов, оформив новый «Лист участника конкурса».;👍;1198649141;2025-06-21 09:23:44
7;1946;Добрый день. А разве на бюджет и на платное не одновременно подаются документы?;Да, вы можете подавать документы одновременно на бюджет и на платное обучение. Участвовать можно в двух конкурсах — на бюджетные и контрактные места.;👍;1117509478;2025-06-21 12:35:47
8;1959;Здравствуйте, согласие подается в целом в институт, дальше по приоритетам? На платное нужно подавать документы, или это можно сделать после завершения конкурса на бюджет?;"Здравствуйте!

Согласие на поступление подается отдельно для бюджета и контракта, и вы можете участвовать в конкурсах на оба варианта одновременно. Приоритеты указываются отдельно по каждой квоте (особая, целевая, основная) и один общий приоритет по платным местам. Вы можете изменить приоритеты до окончания приёма документов, оформив новый «Лист участника конкурса».

На платное обучение можно подавать документы после завершения конкурса на бюджет, но важно учитывать сроки подачи документов на контрактное обучение, которые в 2025 году будут до 5 сентября (без экзаменов) и до 3 сентября (с экзаменами).";👎;1657996989;2025-06-21 16:39:13
9;1963;То есть вплоть до 5 сентября можно подать заявление на платное через личный кабинет УрФУ или Госуслуги?;Да, заявление на платное обучение можно подать через личный кабинет УрФУ или Госуслуги до 5 сентября.;👍;927653800;2025-06-21 18:03:38
10;1971;Здравствуйте, есть возможность сначала поступить на платное обучение, а далее например на 2 курсе перевестись на бюджет? Если да то скажите пожалуйста, что для этого нужно;Да, перевод с платного обучения на бюджетное в ИРИТ-РТФ УрФУ возможен при наличии свободных мест и успешной учёбе. Для перевода необходимо подать заявление с копией зачётки или академической справки и оформить протокол с академической разницей.;👎;5424663938;2025-06-21 20:09:29
