id;question;timestamp
1;А если хочешь тем не менее на платное?;2025-06-21 05:59:33
2;А если не прошел по конкурсу на платное?;2025-06-21 06:17:08
3;Это значит, что подавая согласие в вуз, абитуриент не может знать по какому приоритету он пройдет, если  вообще пройдёт. Об этом он узнаёт только 6.08?;2025-06-21 06:19:30
4;И в этих направлениях есть ещё программы, которые нужно указать по приоритетам? Можно где-то посмотреть пример заполнения заявления? У нас аттестат будет только 28.06.;2025-06-21 07:14:06
5;здравствуйте, а в чем разница между направлениями 09.03.01, 09.03.03 и 09.03.04?;2025-06-21 08:10:56
6;Здравствуйте, у меня такой вопрос. У нас идет сначала приоритет среди вузов, а потом идет в каждом приоритет по программам. То есть, если я вылетаю из зоны в вузе №1 по приоритету №1, то я попадаю в список в этот же вуз, но по второму приоритету. И только когда я вылечу из 5 списка, то попаду в список второго вуза по приоритету. Все так?;2025-06-21 08:11:11
7;можно еще поподробнее про приоритеты?;2025-06-21 08:52:14
8;"Добрый день. Подскажите, пожалуйста, если я уже являлся студентом (был первокурсником и отчислился) и мой аттестат хранится в архиве, необходимо ли при повторном зачислении в 2025 году лично переносить его из архива в приемную комиссию? 
Дорога долгая - 12 часов до Екатеринбурга. Можно ли как-то без личного присутствия обойтись ?";2025-06-21 08:52:46
9;Что за новый лист участника? Это, если в личном кабинете на сайте УрФУ подавались документы? На Госуслугах есть функция коррекиировки заявлений;2025-06-21 09:30:35
10;Добрый день. Оригинал аттестата вообще не представляется в ВУЗ? Даже после зачисления?;2025-06-21 10:03:14
11;Добрый день! Где можно отслеживать прием абитуриентов?;2025-06-21 10:39:39
12;Здравствуйте, я бы хотел более подробно узнать про тему с поступлением по контракту в случае не попадания на бюджет. Условно я выбрал, что поступаю именно в ваш вуз. Расставил приоритеты на бюджет и подписал согласие на зачисление. Далее я просто жду конца приемной комиссии по бюджету и если не попал ни на одно направление то подаю документы на конкурс по контрактной основе?;2025-06-21 11:07:09
13;Добрый день. А разве на бюджет и на платное не одновременно подаются документы?;2025-06-21 11:26:58
14;Еще, пожалуйста, ответьте на такой вопрос. Для участия в конкурсе по контракту необходимо оплатить обучение заранее? Или после зачисления уже?;2025-06-21 11:37:39
15;На сайте написано, что дата издания приказов о зачислении на контракт 09.09. Правильно понимаю, что абитуриент, узнает только 09.09 зачислен или нет? И получается, что он пропустит начало занятий или учёба не с 1 сентября?;2025-06-21 13:53:22
16;Здравствуйте, согласие подается в целом в институт, дальше по приоритетам? На платное нужно подавать документы, или это можно сделать после завершения конкурса на бюджет?;2025-06-21 15:35:09
17;То есть вплоть до 5 сентября можно подать заявление на платное через личный кабинет УрФУ или Госуслуги?;2025-06-21 17:28:13
18;Добрый день, у вас была хорошая презентация со всеми сроками и этапами поступления. Где она выложена?;2025-06-21 17:56:10
19;А подскажите пожалуйста, по времени примерно во сколько вступительные экзамены проходят?;2025-06-21 18:00:25
20;Здравствуйте, есть возможность сначала поступить на платное обучение, а далее например на 2 курсе перевестись на бюджет? Если да то скажите пожалуйста, что для этого нужно;2025-06-21 19:37:54
21;"Подскажите, а что делать выпускнику прошлых лет, у которого на гу аттестат не подгружен и внести его туда ни школа, ни выпускник не могут?.. 
Или в таком случае в гу прикладывается скан аттестата?";2025-06-21 21:59:38
22;Доброе утро. Подскажите, пожалуйста, при поступлении волонтерская книжка дает дополнительные баллы. На сайте указано, что это выписка с сайта Добро.ру, а если волонтерская книжка только в бумажном варианте, она имеет какой-то вес?;2025-06-22 03:07:55
23;"Добрый день. Вопрос. Допустим есть 220-230 баллов. Прохожу на радиотехнику, но не прохожу на прикладную информатику.
Подаю согласие на радиотехнику, вижу себя в списках на зачисление.
Но потом появляются деньги и решаю идти платно на информатику. Так можно?
И еще вопрос. На протяжении 4х лет стоимость обучения не меняется? Если заявлена 263тр, то через год может вырасти до 300, 350 и тд? Как в договоре прописано увеличение стоимости?
Про скидки понятно, что надо хорошо учиться.";2025-06-22 03:40:45
24;А надо верифицированные часы?;2025-06-22 03:42:49
25;Программная инженерия в этой ветке тоже или в другой?;2025-06-22 06:36:16
26;👋👋Как проходят вступительные экзамены на архитектора (очно или заочно)?;2025-06-22 07:17:47
27;Можно ли сдать ВИ заочно, если проживаешь в Екатеринбурге?;2025-06-22 08:05:10
28;И правильно я понимаю что могу у вас пройти вступительный экзамен? И как можно выбрать дистанционно или в университете?;2025-06-22 08:21:53
29;Здравствуйте! Подскажите, где я могу найти сертификат об участии в заключительном этапе олимпиады «будущие исследователи — будущее науки» (бибн)? Олимпиада проводилась в физтехе, я задавала им такой же вопрос, но мне не отвечают;2025-06-22 13:34:24
30;Здравствуйте! Сегодня вручили аттестат, но ЕГЭ по информатике ещё нет, можно подавать заявление через госуслуги или дождаться? И второй вопрос: если студент нуждается в общежитии на госуслугах тоже можно отметку сделать? Спасибо за ответ;2025-06-23 10:32:24
31;И все-таки как лучше подавать документы, на личном сайте вуза или на ГУ? Где удобнее будет менять приоритеты и согласие на зачисление подавать?;2025-06-23 10:42:45
32;А если значок ГТО на Госуслугах не подгружается? То все, не будет доп. баллов?;2025-06-23 10:51:50
33;Скин прикрепить с сайта ВФСК ГТО?;2025-06-23 11:00:26
34;А если у меня есть документ о присвоении золотого знака ГТО, мне его прикреплять к документам по поступлению?;2025-06-23 11:02:53
35;"Если подавать документы через ГУ, то договор на платное обучение можно лично в вузе получить? Банк просит договор с ""мокрой"" синей печатью. И какой срок оплаты по договору?";2025-06-23 11:12:23
36;"https://t.me/iritrtf_urfu/1/2009
Здравствуйте, а на эту встречу нужно регистрироваться?";2025-06-23 11:22:20
37;"https://t.me/iritrtf_urfu/1/2009
Здравствуйте, а эта встреча будет в онлайне? Или она только в вузе?";2025-06-23 11:25:49
38;А как подавать заявление через госуслуги для поступления по особой квоте?;2025-06-23 11:36:11
39;"""но не дал согласия на передачу данных"". Где не дал согласие? На сайте ГТО?";2025-06-23 11:47:00
40;Здравствуйте, а данные о прохождении военной службы при подаче документов через госуслуги сами подгрузятся или нужно будет прикладывать скан документа или справки чтобы получить доп.баллы?;2025-06-23 12:21:08
41;На госуслугах пишут, что нужно предоставить оригиналы документов в приёмную комиссию, подтверждающих прохождение военной службы, как и когда это можно сделать?;2025-06-23 13:20:29
42;Здравствуйте. А если учишься платно, то будет возможность побороться за стипендию? Одно другое не исключает?;2025-06-23 13:44:29
43;А как подтвердить свое участие в финальном этапе олимпиады изумруд? Где-то есть какой-то сертификат?;2025-06-23 17:57:39
44;"Доброе утро! 
Чем отличается прикладная информатика от прикладного искусственного интеллекта? У них вроде код один
Дадите учебный план этих направлений? 
И про программную инженерию интересны было бы послушать
Звучит всё похоже, а чем различаются не пойму";2025-06-24 03:44:44
45;Здравствуйте! где можно узнать средний балл поступивших в 2024 году на информатику и вычислительную технику 09.03.01?;2025-06-24 03:58:05
46;Доброе утро! Подскажите пожалуйста, на каких направлениях изучается  физика в меньшей степени?;2025-06-24 04:02:28
47;Здравствуйте, у меня похожий вопрос. А где можно посмотреть все баллы всех поступивших в 24 году на платной основе? Слышал что такое на урфу есть где то;2025-06-24 04:04:12
48;"А какой проходной был на направление ""программная инженерия""?";2025-06-24 04:30:13
49;Не, а среднее арифметическое всех поступивших?;2025-06-24 04:33:37
50;А где можно найти списки зачисленных?;2025-06-24 04:34:41
51;А где и когда появятся списки с примерными результатами абитуриентов? И будет ли отдельная графа для тех кто поступает по отдельной квоте?;2025-06-24 04:36:14
52;На платное есть шанс поступить на какой то факультет с баллом 175-185? Кроме радиотехники, конструирования и технологии электронных средств, технологии упаковочного производства  и радиолокационных комплексов;2025-06-24 05:03:09
53;"Расскажите поподробнее про Информатику и вычислительную технику
Какие отличия от программной инженерии или прикладной информатики?";2025-06-24 05:24:15
54;А сколько баллов нужно набрать примерно чтобы 100% поступить платно на программную инженерию,информатика и вычислительная техника,инфокоммуникационные технологии и системы связи?;2025-06-24 05:35:20
55;"добрый день.
подал заявление на поступление в вуз через портал ГосУслуги на заочку. 
подскажите в течении какого времени рассматривается заявление?
мне позвонят для согласования даты вступительных испытаний?";2025-06-24 06:00:35
